File_ID,Texto_Espanhol,Traducao_PTBR
dlg_choose_es.json data[1][0][0],Ahí fuera apenas si se ve.,Mal se consegue enxergar lá fora.
dlg_choose_es.json data[1][1][0],Las he visto peores.,Já vi coisa pior.
dlg_choose_es.json data[1][72][0],¿Con quién tengo el gusto de hablar?,Com quem tenho o prazer de conversar?
dlg_choose_es.json data[1][73][0],Un adepto del culto.,Um seguidor do culto.
dlg_choose_es.json data[1][74][0],Eso es cosa mía.,Isso é problema meu.
dlg_choose_es.json data[2][31][0],Sí.,Sim.
dlg_choose_es.json data[2][32][0],"No, gracias.","Não, obrigado."
dlg_choose_es.json data[2][65][0],¿Dónde estamos?,Onde estamos?
dlg_choose_es.json data[2][66][0],La chica.,A garota.
dlg_choose_es.json data[2][67][0],Tus manos.,Suas mãos.
dlg_choose_es.json data[2][68][0],Bonsái.,Bonsai.
dlg_choose_es.json data[2][69][0],Nada.,Nada.
dlg_choose_es.json data[2][89][0],Tu ropa.,Suas roupas.
dlg_choose_es.json data[2][90][0],¿Por qué estás aquí?,Por que você está aqui?
dlg_choose_es.json data[2][91][0],Hasta luego.,Até mais.
dlg_choose_es.json data[2][143][0],¿Quién eres?,Quem é você?
dlg_choose_es.json data[2][144][0],¿Qué peligro?,Que perigo?
dlg_choose_es.json data[3][11][0],Busco a alguien.,Estou procurando alguém.
dlg_choose_es.json data[3][12][0],¿Dónde me encuentro?,Onde estou?
dlg_choose_es.json data[3][13][0],¿De quién se trata?,Quem é?
dlg_choose_es.json data[3][59][0],Me acuerdo.,Eu lembro.
dlg_choose_es.json data[3][60][0],No creo.,Eu não acho.
dlg_choose_es.json data[3][129][0],¿No te gusta?,Você não gosta disso?
dlg_choose_es.json data[3][130][0],Tienes razón.,Você tem razão.
dlg_choose_es.json data[3][134][0],¿Qué haces?,O que você está fazendo?
dlg_choose_es.json data[3][135][0],Salida trasera.,Saída traseira.
dlg_choose_es.json data[3][136][0],Nada.,Nada.
dlg_choose_es.json data[3][189][0],¡Justo a tiempo!,Na hora certa!
dlg_choose_es.json data[3][190][0],¿Qué quieres decir?,O que você quer dizer?
dlg_choose_es.json data[3][191][0],Guerra.,Guerra.
dlg_choose_es.json data[4][15][0],¿Lomri?,Lomri?
dlg_choose_es.json data[4][16][0],¿Lila?,Lilás?
dlg_choose_es.json data[4][17][0],Ahora me tengo que ir.,Agora preciso ir.
dlg_choose_es.json data[4][28][0],Iglesia.,Igreja.
dlg_choose_es.json data[4][29][0],Robots de protocolo.,Robôs de protocolo.
dlg_choose_es.json data[4][30][0],Adiós.,Bye Bye.
dlg_choose_es.json data[4][99][0],¿Te gusta leer?,Você gosta de ler?
dlg_choose_es.json data[4][100][0],Depende del libro.,Depende do livro.
dlg_choose_es.json data[4][104][0],¿Estás bien?,Você está bem?
dlg_choose_es.json data[4][105][0],La cita.,O compromisso.
dlg_choose_es.json data[4][106][0],No sé.,Não sei.
dlg_choose_es.json data[4][107][0],No sé.,Não sei.
dlg_choose_es.json data[4][131][0],¿Qué pides en tus oraciones?,O que você pede em suas orações?
dlg_choose_es.json data[4][132][0],Relación con el culto.,Relação com a adoração.
dlg_choose_es.json data[4][133][0],Adiós.,Bye Bye.
dlg_choose_es.json data[5][0][0],¿Escudos?,Escudos?
dlg_choose_es.json data[5][1][0],¿Lluvia ácida?,Chuva ácida?
dlg_choose_es.json data[5][2][0],¿Colonia?,Colônia?
dlg_choose_es.json data[5][169][0],¿Qué?,Que?
dlg_choose_es.json data[5][170][0],¡Exactamente!,Exatamente!
dlg_choose_es.json data[7][12][0],Ahora me tengo que ir.,Agora preciso ir.
dlg_choose_es.json data[7][58][0],La chica.,A garota.
dlg_choose_es.json data[7][59][0],¿Dónde estamos?,Onde estamos?
dlg_choose_es.json data[7][60][0],Tus orejas.,Seus ouvidos.
dlg_choose_es.json data[7][61][0],¿Qué haces?,O que você está fazendo?
dlg_choose_es.json data[7][62][0],Nada.,Nada.
dlg_choose_es.json data[8][80][0],Sí.,Sim.
dlg_choose_es.json data[8][81][0],No.,Não.
dlg_choose_es.json data[8][139][0],La posada.,A estalagem.
dlg_choose_es.json data[8][140][0],La guerra.,A guerra.
dlg_choose_es.json data[8][147][0],La cita.,O compromisso.
dlg_choose_es.json data[8][148][0],¿Qué has hecho mientras meditábamos?,O que você fez enquanto estávamos meditando?
dlg_choose_es.json data[8][149][0],Estuvo bien lo de ayer.,Ontem foi um bom dia.
dlg_choose_es.json data[8][150][0],¿Bandar?,Bandar?
